schemaname,table_name,index_name,idx_scan,idx_tup_read,idx_tup_fetch,index_bytes
public,post,post_pkey,2503122,9264422,2521649,10723328
app_private,message,message_pkey,1796687,10512272,3,53501952
app_private,account,account_pkey,1111474,1433865,856802,3645440
realtime,subscription,subscription_subscription_id_entity_filters_action_filter_key,5505,0,0,8192
public,post,idx_post_active_time_posted_desc,1101,48152920,6998685,4489216
public,post,post_subcategory_id_status_idx,971,6063196,619022,3416064
public,category,category_pkey,823,3521,3185,16384
public,post,idx_post_status_category_time_posted_desc,624,1868950,1868823,19128320
public,post,post_category_id_status_idx,376,8351557,1292477,3391488
public,post,idx_post_active_category_time_posted_desc,361,2380147,180849,6291456
supabase_migrations,schema_migrations,schema_migrations_pkey,209,3067,2961,16384
public,subcategory,subcategory_pkey,137,196,196,16384
public,post,post_access_token_key,81,109,79,45547520
staging_digitalocean_supost,post_staging_import_latest,post_staging_import_latest_pkey,76,1180037,2101,712704
auth,schema_migrations,schema_migrations_pkey,67,0,0,16384
public,post,post_time_posted_at_idx,49,484593,484593,10616832
public,post,idx_post_active_photo_time_posted_desc,41,164,164,2727936
app_private,message_scam_rule,message_scam_rule_pkey,31,2100,2100,16384
auth,users,users_pkey,25,0,0,8192
app_private,message,message_post_id_idx,23,3593790,3340,18456576
app_private,scammer,scammer_pkey,22,30908,1400,131072
public,post,post_status_spammed_time_idx,21,7772,7772,6275072
app_private,spammer,spammer_pkey,21,1400,1400,49152
public,post,post_premium_idx,9,952664,66828,3317760
public,subcategory,subcategory_category_id_idx,8,7,7,16384
staging_digitalocean_supost,message_staging_import,idx_message_staging_import_scammed,7,12576599,0,12476416
public,post,post_fts_idx,4,152408,0,111853568
staging_digitalocean_supost,message_staging_import,message_staging_import_pkey,2,2,0,40378368
storage,migrations,migrations_pkey,2,3,3,16384
staging_digitalocean_supost,message_staging_import,idx_message_staging_import_post_id,1,1796657,0,18464768
staging_digitalocean_supost,message_staging_import,idx_message_staging_import_account_id,1,856802,0,13410304
app_private,message,message_status_email_idx,0,0,0,89022464
app_private,message,message_email_idx,0,0,0,75268096
app_private,account,account_access_token_key,0,0,0,36110336
public,post,post_status_email_idx,0,0,0,22470656
public,post,post_email_idx,0,0,0,20119552
staging_digitalocean_supost,message_staging_import,idx_message_staging_import_status_email,0,0,0,19922944
staging_digitalocean_supost,message_staging_import,idx_message_staging_import_email,0,0,0,18505728
app_private,message,message_account_id_idx,0,0,0,13410304
app_private,message,message_scammed_idx,0,0,0,12476416
public,post,post_time_modified_at_idx,0,0,0,10633216
app_private,account,account_email_key,0,0,0,8830976
public,post,post_spammed_idx,0,0,0,3317760
app_private,scammer,scammer_email_key,0,0,0,294912
app_private,spammer,spammer_email_key,0,0,0,90112
auth,one_time_tokens,one_time_tokens_relates_to_hash_idx,0,0,0,32768
auth,one_time_tokens,one_time_tokens_token_hash_hash_idx,0,0,0,32768
