schemaname,table_name,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_live_tup,n_dead_tup,autovacuum_count,analyze_count
public,subcategory,1261,73149,145,203,63,0,0,0
public,post,748,151445755,2506760,14819614,476152,28527,7,0
auth,users,406,0,25,0,0,0,0,0
auth,schema_migrations,274,11365,67,0,75,0,0,0
public,category,151,1490,823,3521,10,0,0,0
app_private,message,121,75460025,1796710,3343,1797702,228,1,0
realtime,schema_migrations,71,2345,0,0,68,0,0,0
staging_digitalocean_supost,post_staging_import,69,16059146,,,473411,0,1,0
app_private,account,51,2500,1111474,856802,161207,0,1,0
staging_digitalocean_supost,message_staging_import,39,23357741,11,0,1796703,0,2,0
storage,buckets,32,0,0,0,0,0,0,0
realtime,subscription,13,0,5505,0,0,0,0,0
app_private,message_scam_rule,12,1603,31,2100,229,0,0,0
auth,identities,11,0,0,0,0,0,0,0
app_private,spammer,10,6894,21,1400,1149,0,1,0
storage,objects,10,0,0,0,0,0,0,0
staging_digitalocean_supost,post_staging_import_latest,8,185988,76,33099,30998,0,1,0
auth,oauth_clients,7,0,0,0,0,0,0,0
auth,mfa_factors,7,0,0,0,0,0,0,0
auth,sessions,7,0,0,0,0,0,0,0
auth,refresh_tokens,6,0,0,0,0,0,0,0
auth,custom_oauth_providers,6,0,0,0,0,0,0,0
app_private,scammer,5,4918,22,1400,4918,0,1,0
auth,flow_state,5,0,0,0,0,0,0,0
auth,oauth_authorizations,5,0,0,0,0,0,0,0
auth,oauth_consents,5,0,0,0,0,0,0,0
vault,secrets,5,0,0,0,0,0,0,0
storage,s3_multipart_uploads,5,0,0,0,0,0,0,0
auth,saml_relay_states,5,0,0,0,0,0,0,0
supabase_migrations,schema_migrations,4,47,209,3018,11,50,0,0
storage,buckets_analytics,4,0,0,0,0,0,0,0
auth,one_time_tokens,4,0,0,0,0,0,0,0
auth,sso_domains,3,0,0,0,0,0,0,0
auth,mfa_amr_claims,3,0,0,0,0,0,0,0
auth,saml_providers,3,0,0,0,0,0,0,0
storage,s3_multipart_uploads_parts,3,0,0,0,0,0,0,0
auth,sso_providers,3,0,0,0,0,0,0,0
storage,migrations,2,0,2,3,57,0,0,0
auth,mfa_challenges,2,0,0,0,0,0,0,0
storage,vector_indexes,2,0,0,0,0,0,0,0
auth,oauth_client_states,2,0,0,0,0,0,0,0
app_private,message_orphan_archive,1,226,,,226,0,0,0
supabase_migrations,seed_files,1,0,0,0,0,0,0,0
storage,buckets_vectors,1,0,0,0,0,0,0,0
auth,audit_log_entries,0,0,0,0,0,0,0,0
realtime,messages,0,0,0,0,0,0,0,0
auth,instances,0,0,0,0,0,0,0,0
